00.000148,A,slurping,1
00.000458,B,slurping,1
00.000492,C,slurping,0
00.000538,D,slurping,1
00.000566,E,slurping,2
00.000854,F,slurping,0
00.000891,G,slurping,0
00.000920,H,slurping,2
00.001261,I,slurping,2
01.000540,B,swallowing
01.000545,A,swallowing
01.000563,C,swallowing
01.000617,D,swallowing
01.000641,E,swallowing
01.000919,F,swallowing
01.000961,G,swallowing
01.000986,H,swallowing
01.001327,I,swallowing
01.200353,K,slurping,1
01.200744,J,slurping,1
02.000628,B,idle
02.000634,C,idle
02.000653,A,idle
02.000693,D,idle
02.000711,A,slurping,2
02.000714,C,slurping,1
02.000712,B,slurping,0
02.000726,D,slurping,0
02.000745,E,idle
02.000774,E,slurping,2
02.000981,F,idle
02.001007,F,slurping,2
02.001027,G,idle
02.001050,H,idle
02.001057,G,slurping,0
02.001388,I,idle
02.200445,K,swallowing
02.200829,J,swallowing
02.400478,H,slurping,1
02.400846,I,slurping,1
03.000791,A,swallowing
03.000800,C,swallowing
03.000800,B,swallowing
03.000805,E,swallowing
03.000844,D,swallowing
03.001075,F,swallowing
03.001127,G,swallowing
03.200536,K,idle
03.200847,K,slurping,2
03.200910,J,idle
03.200946,J,slurping,0
03.400561,H,swallowing
03.400934,I,swallowing
04.000872,A,idle
04.000889,C,idle
04.000905,B,idle
04.000915,D,idle
04.000926,A,slurping,0
04.000930,E,idle
04.000933,C,slurping,1
04.000943,B,slurping,0
04.000967,D,slurping,2
04.000969,E,slurping,1
04.001131,F,idle
04.001158,F,slurping,1
04.001189,G,idle
04.001226,G,slurping,2
04.200920,K,swallowing
04.201014,J,swallowing
04.400632,H,idle
04.400978,H,slurping,2
04.401006,I,idle
04.401069,I,slurping,0
05.001006,A,swallowing
05.001019,B,swallowing
05.001009,C,swallowing
05.001059,D,swallowing
05.001068,E,swallowing
05.001220,F,swallowing
05.001288,G,swallowing
05.201013,K,idle
05.201073,K,slurping,1
05.201102,J,idle
05.201168,J,slurping,2
05.401056,H,swallowing
05.401151,I,swallowing
06.001096,A,idle
06.001104,B,idle
06.001108,C,idle
06.001154,D,idle
06.001166,A,slurping,1
06.001172,B,slurping,1
06.001171,E,idle
06.001201,D,slurping,0
06.001173,C,slurping,0
06.001227,E,slurping,2
06.001284,F,idle
06.001314,F,slurping,2
06.001352,G,idle
06.001385,G,slurping,0
06.201147,K,swallowing
06.201247,J,swallowing
06.401134,H,idle
06.401226,H,slurping,1
06.401241,I,idle
06.401315,I,slurping,2
07.001234,A,swallowing
07.001245,B,swallowing
07.001277,D,swallowing
07.001277,C,swallowing
07.001302,E,swallowing
07.001376,F,swallowing
07.001446,G,swallowing
07.201244,K,idle
07.201305,K,slurping,1
07.201331,J,idle
07.201366,J,slurping,2
07.401316,H,swallowing
07.401393,I,swallowing
08.001319,A,idle
08.001318,B,idle
08.001363,D,idle
08.001367,C,idle
08.001381,B,slurping,1
08.001382,A,slurping,2
08.001388,E,idle
08.001406,C,slurping,2
08.001414,D,slurping,1
08.001425,E,slurping,0
08.001440,F,idle
08.001464,F,slurping,0
08.001511,G,idle
08.001548,G,slurping,0
08.201375,K,swallowing
08.201447,J,swallowing
08.401406,H,idle
08.401440,I,idle
08.401478,H,slurping,1
08.401501,I,slurping,2
09.001453,A,swallowing
09.001462,B,swallowing
09.001473,C,swallowing
09.001516,D,swallowing
09.001527,F,swallowing
09.001526,E,swallowing
09.001610,G,swallowing
09.201455,K,idle
09.201513,K,slurping,2
09.201531,J,idle
09.201554,J,slurping,2
09.401545,H,swallowing
09.401573,I,swallowing
10.001548,B,idle
10.001568,C,idle
10.001581,F,idle
10.001550,A,idle
10.001615,B,slurping,0
10.001623,C,slurping,1
10.001626,D,idle
10.001631,F,slurping,2
10.001637,E,idle
10.001624,A,slurping,1
10.001663,D,slurping,0
10.001672,G,idle
10.001684,E,slurping,0
10.001713,G,slurping,1
10.201597,K,swallowing
10.201603,J,swallowing
10.401621,H,idle
10.401667,I,idle
10.401681,H,slurping,2
10.401711,I,slurping,2
11.001686,B,swallowing
11.001695,C,swallowing
11.001709,F,swallowing
11.001722,A,swallowing
11.001740,D,swallowing
11.001756,E,swallowing
11.001780,G,swallowing
11.201685,K,idle
11.201688,J,idle
11.201754,K,slurping,1
11.201761,J,slurping,0
11.401762,H,swallowing
11.401799,I,swallowing
12.001761,B,idle
12.001776,C,idle
12.001789,A,idle
12.001803,F,idle
12.001823,B,slurping,0
12.001826,C,slurping,1
12.001827,A,slurping,2
12.001836,F,slurping,0
12.001841,E,idle
12.001845,G,idle
12.001873,E,slurping,1
12.001882,G,slurping,2
12.001828,D,idle
12.001911,D,slurping,2
12.201831,J,swallowing
12.201833,K,swallowing
12.401849,H,idle
12.401903,I,idle
12.401920,H,slurping,1
12.401945,I,slurping,0
13.001895,B,swallowing
13.001905,C,swallowing
13.001915,A,swallowing
13.001941,F,swallowing
13.001950,E,swallowing
13.001972,G,swallowing
13.001972,D,swallowing
13.201907,J,idle
13.201929,K,idle
13.201962,J,slurping,1
13.201985,K,slurping,1
13.402001,H,swallowing
13.402017,I,swallowing
14.001983,B,idle
14.001987,A,idle
14.002007,C,idle
14.002026,F,idle
14.002031,E,idle
14.002046,A,slurping,2
14.002048,B,slurping,1
14.002061,F,slurping,2
14.002063,C,slurping,2
14.002064,E,slurping,0
14.002064,D,idle
14.002079,G,idle
14.002102,G,slurping,0
14.002109,D,slurping,0
14.202030,J,swallowing
14.202079,K,swallowing
14.402085,H,idle
14.402092,I,idle
14.402142,I,slurping,1
14.402143,H,slurping,1
15.002129,A,swallowing
15.002138,F,swallowing
15.002144,C,swallowing
15.002147,G,swallowing
15.002141,B,swallowing
15.002181,D,swallowing
15.002149,E,swallowing
15.202104,J,idle
15.202146,K,idle
15.202195,J,slurping,2
15.202200,K,slurping,2
15.402219,I,swallowing
15.402255,H,swallowing
16.002233,A,idle
16.002233,C,idle
16.002253,B,idle
16.002258,D,idle
16.002237,G,idle
16.002249,F,idle
16.002293,A,slurping,1
16.002295,D,slurping,1
16.002268,E,idle
16.002304,C,slurping,0
16.002309,G,slurping,1
16.002302,B,slurping,0
16.002340,F,slurping,0
16.002348,E,slurping,2
16.202277,J,swallowing
16.202279,K,swallowing
16.402296,I,idle
16.402310,H,idle
16.402345,I,slurping,2
16.402354,H,slurping,2
17.002367,A,swallowing
17.002383,B,swallowing
17.002390,G,swallowing
17.002370,D,swallowing
17.002402,C,swallowing
17.002424,E,swallowing
17.002441,F,swallowing
17.202363,J,idle
17.202402,K,idle
17.202428,J,slurping,1
17.202446,K,slurping,1
17.402416,I,swallowing
17.402426,H,swallowing
18.002449,A,idle
18.002474,B,idle
18.002476,D,idle
18.002500,C,idle
18.002508,E,idle
18.002514,A,slurping,1
18.002519,B,slurping,2
18.002519,D,slurping,0
18.002519,F,idle
18.002501,G,idle
18.002549,E,slurping,2
18.002562,C,slurping,0
18.002572,F,slurping,2
18.002583,G,slurping,0
18.202511,J,swallowing
18.202522,K,swallowing
18.402509,H,idle
18.402509,I,idle
18.402588,H,slurping,1
18.402614,I,slurping,1
19.002592,B,swallowing
19.002595,A,swallowing
19.002599,D,swallowing
19.002633,C,swallowing
19.002652,E,swallowing
19.002665,G,swallowing
19.002653,F,swallowing
19.202594,J,idle
19.202661,J,slurping,1
19.202715,K,idle
19.202754,K,slurping,0
19.402665,H,swallowing
19.402683,I,swallowing
20.002685,B,idle
20.002691,A,idle
20.002705,D,idle
20.002711,C,idle
20.002726,F,idle
20.002750,G,idle
20.002758,B,slurping,0
20.002760,D,slurping,2
20.002763,F,slurping,0
20.002769,E,idle
20.002761,A,slurping,2
20.002789,G,slurping,1
20.002810,E,slurping,2
20.002759,C,slurping,1
20.202733,J,swallowing
20.202830,K,swallowing
20.402741,H,idle
20.402770,I,idle
20.402836,H,slurping,1
20.402888,I,slurping,0
21.002838,B,swallowing
21.002861,F,swallowing
21.002850,D,swallowing
21.002882,G,swallowing
21.002886,E,swallowing
21.002886,C,swallowing
21.002844,A,swallowing
21.202820,J,idle
21.202901,K,idle
21.202926,J,slurping,2
21.202933,K,slurping,0
21.402911,H,swallowing
21.402956,I,swallowing
22.002925,B,idle
22.002961,E,idle
22.002968,C,idle
22.002962,G,idle
22.002980,F,idle
22.002984,A,idle
22.002988,B,slurping,0
22.003014,F,slurping,1
22.003015,G,slurping,2
22.002970,D,idle
22.003022,E,slurping,0
22.003015,A,slurping,1
22.003016,C,slurping,2
22.003044,D,slurping,1
22.202999,J,swallowing
22.203005,K,swallowing
22.402990,H,idle
22.403021,I,idle
22.403053,H,slurping,2
22.403069,I,slurping,0
23.003057,B,swallowing
23.003083,F,swallowing
23.003092,E,swallowing
23.003098,C,swallowing
23.003107,G,swallowing
23.003113,A,swallowing
23.003114,D,swallowing
23.203077,J,idle
23.203091,K,idle
23.203154,K,slurping,1
23.203157,J,slurping,0
23.403128,H,swallowing
23.403142,I,swallowing
24.003140,B,idle
24.003158,F,idle
24.003171,E,idle
24.003176,C,idle
24.003196,B,slurping,0
24.003195,A,idle
24.003213,E,slurping,2
24.003241,A,slurping,0
24.003256,G,idle
24.003279,G,slurping,1
24.003215,F,slurping,1
24.003215,D,idle
24.003216,C,slurping,2
24.003330,D,slurping,2
24.203230,K,swallowing
24.203248,J,swallowing
24.403202,H,idle
24.403220,I,idle
24.403298,H,slurping,1
24.403300,I,slurping,0
25.003270,B,swallowing
25.003312,A,swallowing
25.003317,E,swallowing
25.003342,G,swallowing
25.003359,F,swallowing
25.003370,C,swallowing
25.003404,D,swallowing
25.203304,J,idle
25.203311,K,idle
25.203363,K,slurping,2
25.203367,J,slurping,2
25.403367,H,swallowing
25.403388,I,swallowing
26.003350,B,idle
26.003386,A,idle
26.003387,E,idle
26.003414,B,slurping,1
26.003419,G,idle
26.003433,A,slurping,1
26.003435,C,idle
26.003455,G,slurping,1
26.003460,F,idle
26.003461,E,slurping,2
26.003480,D,idle
26.003502,F,slurping,0
26.003503,C,slurping,0
26.003528,D,slurping,0
26.203440,K,swallowing
26.203443,J,swallowing
26.403442,H,idle
26.403472,I,idle
26.403513,H,slurping,2
26.403556,I,slurping,2
27.003486,B,swallowing
27.003503,A,swallowing
27.003534,G,swallowing
27.003537,E,swallowing
27.003574,C,swallowing
27.003579,F,swallowing
27.003594,D,swallowing
27.203513,K,idle
27.203515,J,idle
27.203569,J,slurping,2
27.203578,K,slurping,1
27.403581,H,swallowing
27.403634,I,swallowing
28.003567,B,idle
28.003572,A,idle
