00.000157,A,slurping,1
00.000459,B,slurping,1
00.000488,C,slurping,0
00.000533,D,slurping,1
00.000556,E,slurping,2
00.000607,F,slurping,0
00.000895,G,slurping,0
00.000932,H,slurping,2
00.001068,I,slurping,2
01.000544,A,swallowing
01.000551,B,swallowing
01.000586,C,swallowing
01.000600,D,swallowing
01.000623,E,swallowing
01.000705,F,swallowing
01.000961,G,swallowing
01.000996,H,swallowing
01.001134,I,swallowing
01.200602,K,slurping,1
01.200818,J,slurping,1
02.000655,E,idle
02.000663,C,idle
02.000671,D,idle
02.000660,A,idle
02.000654,B,idle
02.000720,C,slurping,0
02.000721,D,slurping,2
02.000722,E,slurping,0
02.000731,A,slurping,1
02.000739,B,slurping,0
02.000804,F,idle
02.000847,F,slurping,2
02.001026,G,idle
02.001053,G,slurping,2
02.001062,H,idle
02.001197,I,idle
02.200680,K,swallowing
02.200892,J,swallowing
02.400759,I,slurping,1
02.400923,H,slurping,1
03.000810,E,swallowing
03.000818,B,swallowing
03.000818,A,swallowing
03.000820,C,swallowing
03.000824,D,swallowing
03.000938,F,swallowing
03.001116,G,swallowing
03.200799,K,idle
03.200889,K,slurping,0
03.200962,J,idle
03.201003,J,slurping,0
03.400865,I,swallowing
03.401016,H,swallowing
04.000902,E,idle
04.000930,B,idle
04.000930,A,idle
04.000972,C,idle
04.000977,D,idle
04.000974,E,slurping,2
04.000992,B,slurping,2
04.001004,A,slurping,2
04.001005,F,idle
04.001011,C,slurping,0
04.001018,D,slurping,1
04.001042,F,slurping,1
04.001179,G,idle
04.001212,G,slurping,1
04.200977,K,swallowing
04.201081,J,swallowing
04.400975,I,idle
04.401030,I,slurping,0
04.401100,H,idle
04.401157,H,slurping,0
05.001063,E,swallowing
05.001066,B,swallowing
05.001089,D,swallowing
05.001069,A,swallowing
05.001080,C,swallowing
05.001180,F,swallowing
05.001275,G,swallowing
05.201067,K,idle
05.201131,K,slurping,2
05.201152,J,idle
05.201186,J,slurping,0
05.401110,I,swallowing
05.401241,H,swallowing
06.001158,E,idle
06.001165,D,idle
06.001166,A,idle
06.001190,B,idle
06.001205,C,idle
06.001226,D,slurping,0
06.001227,A,slurping,1
06.001232,B,slurping,1
06.001228,E,slurping,0
06.001255,C,slurping,2
06.001294,F,idle
06.001340,G,idle
06.001343,F,slurping,1
06.001368,G,slurping,2
06.201229,K,swallowing
06.201266,J,swallowing
06.401206,I,idle
06.401283,I,slurping,2
06.401324,H,idle
06.401377,H,slurping,0
07.001302,A,swallowing
07.001310,B,swallowing
07.001308,E,swallowing
07.001308,D,swallowing
07.001349,C,swallowing
07.001420,F,swallowing
07.001436,G,swallowing
07.201329,K,idle
07.201340,J,idle
07.201388,K,slurping,2
07.201404,J,slurping,0
07.401373,I,swallowing
07.401483,H,swallowing
08.001393,A,idle
08.001402,E,idle
08.001414,D,idle
08.001447,C,idle
08.001462,A,slurping,0
08.001463,E,slurping,2
08.001465,D,slurping,0
08.001487,C,slurping,1
08.001486,F,idle
08.001504,B,idle
08.001525,G,idle
08.001529,B,slurping,2
08.001546,F,slurping,1
08.001551,G,slurping,1
08.201482,K,swallowing
08.201486,J,swallowing
08.401483,I,idle
08.401555,I,slurping,0
08.401581,H,idle
08.402056,H,slurping,2
09.001532,A,swallowing
09.001554,D,swallowing
09.001561,E,swallowing
09.001565,B,swallowing
09.001600,C,swallowing
09.001618,G,swallowing
09.001645,F,swallowing
09.201585,K,idle
09.201597,J,idle
09.201642,J,slurping,2
09.201650,K,slurping,1
09.401656,I,swallowing
09.402155,H,swallowing
10.001633,D,idle
10.001648,E,idle
10.001634,A,idle
10.001689,G,idle
10.001694,D,slurping,1
10.001690,C,idle
10.001700,E,slurping,1
10.001718,F,idle
10.001728,A,slurping,2
10.001731,G,slurping,0
10.001636,B,idle
10.001756,F,slurping,0
10.001758,C,slurping,2
10.001756,B,slurping,0
10.201711,J,swallowing
10.201740,K,swallowing
10.401771,I,idle
10.401844,I,slurping,2
10.402226,H,idle
10.402271,H,slurping,1
11.001786,D,swallowing
11.001806,E,swallowing
11.001830,G,swallowing
11.001835,B,swallowing
11.001840,A,swallowing
11.001843,F,swallowing
11.001851,C,swallowing
11.201814,J,idle
11.201848,K,idle
11.201907,J,slurping,0
11.201929,K,slurping,2
11.401945,I,swallowing
11.402353,H,swallowing
12.001886,G,idle
12.001900,D,idle
12.001887,E,idle
12.001925,F,idle
12.001932,B,idle
12.001961,G,slurping,1
12.001963,D,slurping,0
12.001968,F,slurping,1
12.001970,B,slurping,2
12.001926,A,idle
12.001962,E,slurping,0
12.001998,A,slurping,1
12.002035,C,idle
12.002088,C,slurping,2
12.201984,J,swallowing
12.202000,K,swallowing
12.402048,I,idle
12.402116,I,slurping,0
12.402423,H,idle
12.402466,H,slurping,2
13.002049,D,swallowing
13.002051,F,swallowing
13.002078,G,swallowing
13.002088,E,swallowing
13.002052,B,swallowing
13.002056,A,swallowing
13.002183,C,swallowing
13.202074,K,idle
13.202095,J,idle
13.202131,K,slurping,0
13.202176,J,slurping,1
13.402210,I,swallowing
13.402552,H,swallowing
14.002152,D,idle
14.002177,F,idle
14.002187,G,idle
14.002195,B,idle
14.002199,E,idle
14.002220,D,slurping,1
14.002232,A,idle
14.002236,E,slurping,2
14.002240,B,slurping,0
14.002250,G,slurping,1
14.002257,A,slurping,2
14.002236,F,slurping,0
14.002275,C,idle
14.002314,C,slurping,2
14.202203,K,swallowing
14.202273,J,swallowing
14.402319,I,idle
14.402377,I,slurping,0
14.402634,H,idle
14.402699,H,slurping,1
15.002320,D,swallowing
15.002329,G,swallowing
15.002321,E,swallowing
15.002320,B,swallowing
15.002326,A,swallowing
15.002336,F,swallowing
15.002381,C,swallowing
15.202325,K,idle
15.202355,J,idle
15.202403,K,slurping,2
15.202410,J,slurping,2
15.402469,I,swallowing
15.402796,H,swallowing
16.002412,D,idle
16.002424,E,idle
16.002425,B,idle
16.002452,C,idle
16.002414,G,idle
16.002487,B,slurping,0
16.002489,D,slurping,2
16.002494,C,slurping,0
16.002508,G,slurping,1
16.002426,A,idle
16.002534,A,slurping,0
16.002534,F,idle
16.002488,E,slurping,1
16.002584,F,slurping,1
16.202477,K,swallowing
16.202489,J,swallowing
16.402563,I,idle
16.402617,I,slurping,2
16.402888,H,idle
16.402956,H,slurping,2
17.002582,B,swallowing
17.002585,C,swallowing
17.002588,D,swallowing
17.002628,E,swallowing
17.002591,G,swallowing
17.002599,A,swallowing
17.002705,F,swallowing
17.202570,K,idle
17.202594,J,idle
17.202638,K,slurping,0
17.202646,J,slurping,1
17.402716,I,swallowing
17.403045,H,swallowing
18.002673,B,idle
18.002678,C,idle
18.002705,E,idle
18.002724,A,idle
18.002732,G,idle
18.002755,C,slurping,1
18.002761,E,slurping,0
18.002763,A,slurping,2
18.002725,D,idle
18.002788,D,slurping,2
18.002791,F,idle
18.002802,G,slurping,1
18.002756,B,slurping,0
18.002828,F,slurping,2
18.202714,K,swallowing
18.202722,J,swallowing
18.402797,I,idle
18.402844,I,slurping,0
18.403117,H,idle
18.403181,H,slurping,1
